Grupo_edad,Año, Hombre, Mujer
,,,
 30-34 años,2002,523,203
,,,
 30-34 años,2003,619,177
,,,
 30-34 años,2004,551,183
,,,
 30-34 años,2005,599,199
,,,
 30-34 años,2006,578,233
,,,
 30-34 años,2007,546,203
,,,
 30-34 años,2008,582,197
,,,
 30-34 años,2009,652,283
,,,
 30-34 años,2010,663,220
,,,
 30-34 años,2011,711,233
,,,
 30-34 años,2012,729,240
,,,
 30-34 años,2013,791,223
,,,
 30-34 años,2014,688,227
,,,
 30-34 años,2015,736,215
,,,
 30-34 años,2016,742,260
,,,
 30-34 años,2017,881,247
,,,
 30-34 años,2018,987,284
,,,
 30-34 años,2019,"1,042",284
,,,
 30-34 años,2020,"1,142",368
,,,
 30-34 años,2021,"1,277",413
,,,
 30-34 años,2022,992,328
,,,
 30-34 años,2023,950,338
,,,
 35-39 años,2000,564,242
,,,
 35-39 años,2001,575,222
,,,
 35-39 años,2002,564,233
,,,
 35-39 años,2003,636,223
,,,
 35-39 años,2004,613,239
,,,
 35-39 años,2005,651,239
,,,
 35-39 años,2006,614,237
,,,
 35-39 años,2007,654,257
,,,
 35-39 años,2008,668,297
,,,
 35-39 años,2009,753,289
,,,
 35-39 años,2010,782,277
,,,
 35-39 años,2011,874,306
,,,
 35-39 años,2012,834,310
,,,
 35-39 años,2013,895,308
,,,
 35-39 años,2014,752,285
,,,
 35-39 años,2015,818,282
,,,
 35-39 años,2016,894,304
,,,
 35-39 años,2017,902,311
,,,
 35-39 años,2018,965,321
,,,
 35-39 años,2019,"1,030",355
,,,
 35-39 años,2020,"1,220",496
,,,
 35-39 años,2021,"1,448",565
,,,
 35-39 años,2022,"1,097",431
,,,
 35-39 años,2023,"1,045",395
,,,
 40-44 años,2000,612,331
,,,
 40-44 años,2001,624,348
,,,
 40-44 años,2002,646,361
,,,
 40-44 años,2003,653,362
,,,
 40-44 años,2004,691,327
,,,
 40-44 años,2005,691,345
,,,
 40-44 años,2006,680,334
,,,
 40-44 años,2007,726,337
,,,
 40-44 años,2008,737,349
,,,
 40-44 años,2009,783,352
,,,
 40-44 años,2010,818,355
,,,
 40-44 años,2011,915,333
,,,
 40-44 años,2012,971,383
,,,
 40-44 años,2013,995,366
,,,
 40-44 años,2014,"1,023",416
,,,
 40-44 años,2015,934,410
,,,
 40-44 años,2016,"1,047",457
,,,
 40-44 años,2017,"1,078",493
,,,
 40-44 años,2018,"1,220",454
,,,
 40-44 años,2019,"1,198",502
,,,
 40-44 años,2020,"1,382",580
,,,
 40-44 años,2021,"1,656",788
,,,
 40-44 años,2022,"1,177",507
,,,
 40-44 años,2023,"1,222",525
,,,
 45-49 años,2000,723,419
,,,
 45-49 años,2001,725,418
,,,
 45-49 años,2002,716,428
,,,
 45-49 años,2003,742,413
,,,
 45-49 años,2004,748,466
,,,
 45-49 años,2005,817,493
,,,
 45-49 años,2006,787,495
,,,
 45-49 años,2007,792,461
,,,
 45-49 años,2008,868,446
,,,
 45-49 años,2009,923,562
,,,
 45-49 años,2010,975,488
,,,
 45-49 años,2011,991,514
,,,
 45-49 años,2012,"1,007",512
,,,
 45-49 años,2013,"1,064",568
,,,
 45-49 años,2014,"1,036",584
,,,
 45-49 años,2015,"1,081",565
,,,
 45-49 años,2016,"1,224",643
,,,
 45-49 años,2017,"1,210",633
,,,
 45-49 años,2018,"1,251",625
,,,
 45-49 años,2019,"1,475",611
,,,
 45-49 años,2020,"1,902",886
,,,
 45-49 años,2021,"2,259","1,112"
,,,
 45-49 años,2022,"1,493",714
,,,
 45-49 años,2023,"1,465",733
,,,
 50-54 años,2000,780,558
,,,
 50-54 años,2001,830,590
,,,
 50-54 años,2002,928,594
,,,
 50-54 años,2003,930,667
,,,
 50-54 años,2004,867,568
,,,
 50-54 años,2005,917,639
,,,
 50-54 años,2006,911,636
,,,
 50-54 años,2007,955,643
,,,
 50-54 años,2008,"1,038",718
,,,
 50-54 años,2009,"1,085",708
,,,
 50-54 años,2010,"1,115",735
,,,
 50-54 años,2011,"1,165",767
,,,
 50-54 años,2012,"1,187",797
,,,
 50-54 años,2013,"1,227",778
,,,
 50-54 años,2014,"1,279",776
,,,
 50-54 años,2015,"1,244",753
,,,
 50-54 años,2016,"1,350",887
,,,
 50-54 años,2017,"1,406",779
,,,
 50-54 años,2018,"1,457",887
,,,
 50-54 años,2019,"1,546",918
,,,
 50-54 años,2020,"2,167","1,217"
,,,
 50-54 años,2021,"2,685","1,498"
,,,
 50-54 años,2022,"1,763",983
,,,
 50-54 años,2023,"1,828",923
,,,
 55-59 años,2000,949,741
,,,
 55-59 años,2001,975,735
,,,
 55-59 años,2002,"1,030",782
,,,
 55-59 años,2003,"1,094",799
,,,
 55-59 años,2004,"1,072",803
,,,
 55-59 años,2005,"1,110",859
,,,
 55-59 años,2006,"1,099",837
,,,
 55-59 años,2007,"1,109",857
,,,
 55-59 años,2008,"1,215",855
,,,
 55-59 años,2009,"1,185",945
,,,
 55-59 años,2010,"1,274",984
,,,
 55-59 años,2011,"1,349",941
,,,
 55-59 años,2012,"1,417",998
,,,
 55-59 años,2013,"1,531","1,064"
,,,
 55-59 años,2014,"1,595","1,084"
,,,
 55-59 años,2015,"1,551","1,053"
,,,
 55-59 años,2016,"1,645","1,087"
,,,
 55-59 años,2017,"1,681","1,048"
,,,
 55-59 años,2018,"1,672","1,104"
,,,
 55-59 años,2019,"1,877","1,179"
,,,
 55-59 años,2020,"2,644","1,659"
,,,
 55-59 años,2021,"3,096","2,128"
,,,
 55-59 años,2022,"2,223","1,266"
,,,
 55-59 años,2023,"2,024","1,296"
,,,
 60-64 años,2000,"1,038",944
,,,
 60-64 años,2001,"1,123",894
,,,
 60-64 años,2002,"1,136",995
,,,
 60-64 años,2003,"1,188",985
,,,
 60-64 años,2004,"1,271","1,009"
,,,
 60-64 años,2005,"1,337","1,131"
,,,
 60-64 años,2006,"1,290","1,111"
,,,
 60-64 años,2007,"1,418","1,136"
,,,
 60-64 años,2008,"1,468","1,147"
,,,
 60-64 años,2009,"1,502","1,198"
,,,
 60-64 años,2010,"1,626","1,220"
,,,
 60-64 años,2011,"1,597","1,287"
,,,
 60-64 años,2012,"1,678","1,217"
,,,
 60-64 años,2013,"1,712","1,329"
,,,
 60-64 años,2014,"1,692","1,353"
,,,
 60-64 años,2015,"1,780","1,331"
,,,
 60-64 años,2016,"1,933","1,465"
,,,
 60-64 años,2017,"2,022","1,416"
,,,
 60-64 años,2018,"1,989","1,471"
,,,
 60-64 años,2019,"2,170","1,636"
,,,
 60-64 años,2020,"3,205","2,163"
,,,
 60-64 años,2021,"3,815","2,646"
,,,
 60-64 años,2022,"2,542","1,798"
,,,
 60-64 años,2023,"2,355","1,667"
,,,
 65-69 años,2000,"1,246","1,118"
,,,
 65-69 años,2001,"1,263","1,113"
,,,
 65-69 años,2002,"1,297","1,129"
,,,
 65-69 años,2003,"1,389","1,202"
,,,
 65-69 años,2004,"1,358","1,175"
,,,
 65-69 años,2005,"1,461","1,248"
,,,
 65-69 años,2006,"1,456","1,190"
,,,
 65-69 años,2007,"1,501","1,223"
,,,
 65-69 años,2008,"1,574","1,204"
,,,
 65-69 años,2009,"1,720","1,363"
,,,
 65-69 años,2010,"1,675","1,353"
,,,
 65-69 años,2011,"1,819","1,436"
,,,
 65-69 años,2012,"1,907","1,495"
,,,
 65-69 años,2013,"2,049","1,552"
,,,
 65-69 años,2014,"2,057","1,579"
,,,
 65-69 años,2015,"2,031","1,688"
,,,
 65-69 años,2016,"2,200","1,642"
,,,
 65-69 años,2017,"2,197","1,697"
,,,
 65-69 años,2018,"2,271","1,712"
,,,
 65-69 años,2019,"2,313","1,953"
,,,
 65-69 años,2020,"3,657","2,618"
,,,
 65-69 años,2021,"4,429","3,140"
,,,
 65-69 años,2022,"2,908","2,137"
,,,
 65-69 años,2023,"2,624","2,053"
,,,
 70-74 años,2000,"1,462","1,289"
,,,
 70-74 años,2001,"1,397","1,235"
,,,
 70-74 años,2002,"1,539","1,412"
,,,
 70-74 años,2003,"1,551","1,413"
,,,
 70-74 años,2004,"1,556","1,364"
,,,
 70-74 años,2005,"1,611","1,513"
,,,
 70-74 años,2006,"1,654","1,497"
,,,
 70-74 años,2007,"1,694","1,508"
,,,
 70-74 años,2008,"1,764","1,569"
,,,
 70-74 años,2009,"1,751","1,531"
,,,
 70-74 años,2010,"1,939","1,657"
,,,
 70-74 años,2011,"1,920","1,603"
,,,
 70-74 años,2012,"2,018","1,680"
,,,
 70-74 años,2013,"2,098","1,739"
,,,
 70-74 años,2014,"2,198","1,764"
,,,
 70-74 años,2015,"2,208","1,831"
,,,
 70-74 años,2016,"2,373","1,981"
,,,
 70-74 años,2017,"2,388","1,969"
,,,
 70-74 años,2018,"2,552","2,029"
,,,
 70-74 años,2019,"2,651","2,080"
,,,
 70-74 años,2020,"4,015","2,996"
,,,
 70-74 años,2021,"4,719","3,429"
,,,
 70-74 años,2022,"3,181","2,454"
,,,
 70-74 años,2023,"2,925","2,374"
,,,
 75-79 años,2000,"1,635","1,527"
,,,
 75-79 años,2001,"1,545","1,444"
,,,
 75-79 años,2002,"1,674","1,532"
,,,
 75-79 años,2003,"1,593","1,599"
,,,
 75-79 años,2004,"1,601","1,583"
,,,
 75-79 años,2005,"1,739","1,662"
,,,
 75-79 años,2006,"1,721","1,620"
,,,
 75-79 años,2007,"1,794","1,672"
,,,
 75-79 años,2008,"1,886","1,742"
,,,
 75-79 años,2009,"1,957","1,837"
,,,
 75-79 años,2010,"2,111","1,876"
,,,
 75-79 años,2011,"2,047","1,889"
,,,
 75-79 años,2012,"2,029","1,870"
,,,
 75-79 años,2013,"2,299","1,974"
,,,
 75-79 años,2014,"2,242","2,063"
,,,
 75-79 años,2015,"2,334","2,107"
,,,
 75-79 años,2016,"2,476","2,175"
,,,
 75-79 años,2017,"2,524","2,231"
,,,
 75-79 años,2018,"2,524","2,318"
,,,
 75-79 años,2019,"2,803","2,346"
,,,
 75-79 años,2020,"3,966","3,075"
,,,
 75-79 años,2021,"4,583","3,763"
,,,
 75-79 años,2022,"3,410","2,860"
,,,
 75-79 años,2023,"3,128","2,730"
,,,
 80-84 años,2000,"1,470","1,609"
,,,
 80-84 años,2001,"1,504","1,635"
,,,
 80-84 años,2002,"1,664","1,765"
,,,
 80-84 años,2003,"1,746","1,869"
,,,
 80-84 años,2004,"1,716","1,769"
,,,
 80-84 años,2005,"1,810","1,879"
,,,
 80-84 años,2006,"1,780","1,866"
,,,
 80-84 años,2007,"1,790","1,909"
,,,
 80-84 años,2008,"1,821","1,860"
,,,
 80-84 años,2009,"1,864","2,005"
,,,
 80-84 años,2010,"1,973","2,101"
,,,
 80-84 años,2011,"2,046","2,146"
,,,
 80-84 años,2012,"2,051","2,189"
,,,
 80-84 años,2013,"2,108","2,340"
,,,
 80-84 años,2014,"2,172","2,238"
,,,
 80-84 años,2015,"2,194","2,323"
,,,
 80-84 años,2016,"2,383","2,426"
,,,
 80-84 años,2017,"2,395","2,401"
,,,
 80-84 años,2018,"2,382","2,411"
,,,
 80-84 años,2019,"2,586","2,565"
,,,
 80-84 años,2020,"3,502","3,161"
,,,
 80-84 años,2021,"3,889","3,501"
,,,
 80-84 años,2022,"3,118","2,985"
,,,
 80-84 años,2023,"2,787","2,841"
,,,
 85 años y más,2000,"2,487","3,224"
,,,
 85 años y más,2001,"2,501","3,268"
,,,
 85 años y más,2002,"2,691","3,475"
,,,
 85 años y más,2003,"2,798","3,551"
,,,
 85 años y más,2004,"2,677","3,467"
,,,
 85 años y más,2005,"2,914","3,783"
,,,
 85 años y más,2006,"2,842","3,765"
,,,
 85 años y más,2007,"2,938","3,839"
,,,
 85 años y más,2008,"3,084","4,203"
,,,
 85 años y más,2009,"3,312","4,272"
,,,
 85 años y más,2010,"3,514","4,600"
,,,
 85 años y más,2011,"3,590","4,542"
,,,
 85 años y más,2012,"3,387","4,485"
,,,
 85 años y más,2013,"3,647","4,792"
,,,
 85 años y más,2014,"3,675","4,672"
,,,
 85 años y más,2015,"3,738","5,091"
,,,
 85 años y más,2016,"4,004","5,370"
,,,
 85 años y más,2017,"3,944","5,343"
,,,
 85 años y más,2018,"3,853","5,236"
,,,
 85 años y más,2019,"4,166","5,518"
,,,
 85 años y más,2020,"5,113","6,214"
,,,
 85 años y más,2021,"5,685","6,825"
,,,
 85 años y más,2022,"4,872","6,352"
,,,
 85 años y más,2023,"4,071","5,769"
