Grupo_edad,Año, Hombre, Mujer
 30-34 años,2004,40,14
,,,
 30-34 años,2005,54,9
,,,
 30-34 años,2006,52,21
,,,
 30-34 años,2007,67,22
,,,
 30-34 años,2008,61,14
,,,
 30-34 años,2009,45,14
,,,
 30-34 años,2010,56,16
,,,
 30-34 años,2011,53,19
,,,
 30-34 años,2012,66,20
,,,
 30-34 años,2013,39,26
,,,
 30-34 años,2014,72,12
,,,
 30-34 años,2015,84,24
,,,
 30-34 años,2016,83,19
,,,
 30-34 años,2017,155,30
,,,
 30-34 años,2018,88,22
,,,
 30-34 años,2019,64,25
,,,
 30-34 años,2020,84,32
,,,
 30-34 años,2021,106,42
,,,
 30-34 años,2022,81,29
,,,
 30-34 años,2023,71,38
,,,
 35-39 años,2000,41,15
,,,
 35-39 años,2001,34,17
,,,
 35-39 años,2002,38,25
,,,
 35-39 años,2003,34,21
,,,
 35-39 años,2004,46,25
,,,
 35-39 años,2005,56,23
,,,
 35-39 años,2006,60,25
,,,
 35-39 años,2007,57,26
,,,
 35-39 años,2008,56,19
,,,
 35-39 años,2009,68,20
,,,
 35-39 años,2010,77,23
,,,
 35-39 años,2011,66,21
,,,
 35-39 años,2012,75,29
,,,
 35-39 años,2013,67,23
,,,
 35-39 años,2014,71,29
,,,
 35-39 años,2015,90,36
,,,
 35-39 años,2016,98,29
,,,
 35-39 años,2017,167,49
,,,
 35-39 años,2018,82,36
,,,
 35-39 años,2019,87,27
,,,
 35-39 años,2020,96,34
,,,
 35-39 años,2021,138,75
,,,
 35-39 años,2022,82,33
,,,
 35-39 años,2023,94,36
,,,
 40-44 años,2000,46,13
,,,
 40-44 años,2001,43,21
,,,
 40-44 años,2002,46,17
,,,
 40-44 años,2003,42,26
,,,
 40-44 años,2004,54,23
,,,
 40-44 años,2005,52,26
,,,
 40-44 años,2006,56,23
,,,
 40-44 años,2007,51,33
,,,
 40-44 años,2008,66,29
,,,
 40-44 años,2009,81,35
,,,
 40-44 años,2010,59,38
,,,
 40-44 años,2011,71,39
,,,
 40-44 años,2012,64,31
,,,
 40-44 años,2013,61,32
,,,
 40-44 años,2014,70,41
,,,
 40-44 años,2015,96,45
,,,
 40-44 años,2016,100,34
,,,
 40-44 años,2017,156,48
,,,
 40-44 años,2018,95,45
,,,
 40-44 años,2019,105,43
,,,
 40-44 años,2020,124,55
,,,
 40-44 años,2021,223,99
,,,
 40-44 años,2022,112,47
,,,
 40-44 años,2023,91,38
,,,
 45-49 años,2000,63,32
,,,
 45-49 años,2001,46,21
,,,
 45-49 años,2002,61,16
,,,
 45-49 años,2003,62,33
,,,
 45-49 años,2004,68,32
,,,
 45-49 años,2005,63,30
,,,
 45-49 años,2006,73,43
,,,
 45-49 años,2007,78,48
,,,
 45-49 años,2008,89,44
,,,
 45-49 años,2009,80,47
,,,
 45-49 años,2010,83,47
,,,
 45-49 años,2011,94,34
,,,
 45-49 años,2012,90,46
,,,
 45-49 años,2013,77,46
,,,
 45-49 años,2014,96,52
,,,
 45-49 años,2015,93,59
,,,
 45-49 años,2016,111,59
,,,
 45-49 años,2017,158,59
,,,
 45-49 años,2018,118,58
,,,
 45-49 años,2019,107,53
,,,
 45-49 años,2020,180,84
,,,
 45-49 años,2021,297,166
,,,
 45-49 años,2022,140,64
,,,
 45-49 años,2023,141,69
,,,
 50-54 años,2000,58,26
,,,
 50-54 años,2001,64,40
,,,
 50-54 años,2002,47,26
,,,
