Grupo_edad,Año, Hombre, Mujer
 30-34 años,2004,116,44
,,,
 30-34 años,2005,123,53
,,,
 30-34 años,2006,114,55
,,,
 30-34 años,2007,136,49
,,,
 30-34 años,2008,140,48
,,,
 30-34 años,2009,171,67
,,,
 30-34 años,2010,184,53
,,,
 30-34 años,2011,166,56
,,,
 30-34 años,2012,219,43
,,,
 30-34 años,2013,202,67
,,,
 30-34 años,2014,180,58
,,,
 30-34 años,2015,160,66
,,,
 30-34 años,2016,199,68
,,,
 30-34 años,2017,216,61
,,,
 30-34 años,2018,242,71
,,,
 30-34 años,2019,301,63
,,,
 30-34 años,2020,339,95
,,,
 30-34 años,2021,411,83
,,,
 30-34 años,2022,367,94
,,,
 30-34 años,2023,398,104
,,,
 35-39 años,2000,141,60
,,,
 35-39 años,2001,135,60
,,,
 35-39 años,2002,123,74
,,,
 35-39 años,2003,120,67
,,,
 35-39 años,2004,160,52
,,,
 35-39 años,2005,141,71
,,,
 35-39 años,2006,136,62
,,,
 35-39 años,2007,128,71
,,,
 35-39 años,2008,143,71
,,,
 35-39 años,2009,210,73
,,,
 35-39 años,2010,207,66
,,,
 35-39 años,2011,178,70
,,,
 35-39 años,2012,179,81
,,,
 35-39 años,2013,245,72
,,,
 35-39 años,2014,211,69
,,,
 35-39 años,2015,201,71
,,,
 35-39 años,2016,230,69
,,,
 35-39 años,2017,215,58
,,,
 35-39 años,2018,241,80
,,,
 35-39 años,2019,303,89
,,,
 35-39 años,2020,354,111
,,,
 35-39 años,2021,443,160
,,,
 35-39 años,2022,360,96
,,,
 35-39 años,2023,386,94
,,,
 40-44 años,2000,160,75
,,,
 40-44 años,2001,144,83
,,,
 40-44 años,2002,173,92
,,,
 40-44 años,2003,178,100
,,,
 40-44 años,2004,163,73
,,,
 40-44 años,2005,167,74
,,,
 40-44 años,2006,151,88
,,,
 40-44 años,2007,172,111
,,,
 40-44 años,2008,187,94
,,,
 40-44 años,2009,190,93
,,,
 40-44 años,2010,210,111
,,,
 40-44 años,2011,217,90
,,,
 40-44 años,2012,230,125
,,,
 40-44 años,2013,217,93
,,,
 40-44 años,2014,214,97
,,,
 40-44 años,2015,229,106
,,,
 40-44 años,2016,302,108
,,,
 40-44 años,2017,281,121
,,,
 40-44 años,2018,305,121
,,,
 40-44 años,2019,327,115
,,,
 40-44 años,2020,418,170
,,,
 40-44 años,2021,520,208
,,,
 40-44 años,2022,404,137
,,,
 40-44 años,2023,417,161
,,,
 45-49 años,2000,152,98
,,,
 45-49 años,2001,174,81
,,,
 45-49 años,2002,197,100
,,,
 45-49 años,2003,178,97
,,,
 45-49 años,2004,162,129
,,,
 45-49 años,2005,169,132
,,,
 45-49 años,2006,192,127
,,,
 45-49 años,2007,187,107
,,,
 45-49 años,2008,208,138
,,,
 45-49 años,2009,206,130
,,,
 45-49 años,2010,218,147
,,,
 45-49 años,2011,227,137
,,,
 45-49 años,2012,230,163
,,,
 45-49 años,2013,293,161
,,,
 45-49 años,2014,264,176
,,,
 45-49 años,2015,248,153
,,,
 45-49 años,2016,285,168
,,,
 45-49 años,2017,305,183
,,,
 45-49 años,2018,317,170
,,,
 45-49 años,2019,385,195
,,,
 45-49 años,2020,550,263
,,,
 45-49 años,2021,739,326
,,,
 45-49 años,2022,424,196
,,,
 45-49 años,2023,433,207
,,,
 50-54 años,2000,187,161
,,,
 50-54 años,2001,200,131
,,,
 50-54 años,2002,209,133
,,,
 50-54 años,2003,209,154
,,,
 50-54 años,2004,211,159
,,,
 50-54 años,2005,214,177
,,,
 50-54 años,2006,213,151
,,,
 50-54 años,2007,272,169
,,,
 50-54 años,2008,268,162
,,,
 50-54 años,2009,286,202
,,,
 50-54 años,2010,288,196
,,,
 50-54 años,2011,296,190
,,,
 50-54 años,2012,318,202
,,,
 50-54 años,2013,297,209
,,,
 50-54 años,2014,338,229
,,,
 50-54 años,2015,317,250
,,,
 50-54 años,2016,421,258
,,,
 50-54 años,2017,380,233
,,,
 50-54 años,2018,377,254
,,,
 50-54 años,2019,424,225
,,,
 50-54 años,2020,696,376
,,,
 50-54 años,2021,777,471
,,,
 50-54 años,2022,471,293
,,,
 50-54 años,2023,472,305
,,,
 55-59 años,2000,201,177
,,,
 55-59 años,2001,186,183
,,,
 55-59 años,2002,245,185
,,,
 55-59 años,2003,232,190
,,,
 55-59 años,2004,252,147
,,,
 55-59 años,2005,247,181
,,,
 55-59 años,2006,272,199
,,,
 55-59 años,2007,277,197
,,,
 55-59 años,2008,322,246
,,,
 55-59 años,2009,294,230
,,,
 55-59 años,2010,348,268
,,,
 55-59 años,2011,344,267
,,,
 55-59 años,2012,353,250
,,,
 55-59 años,2013,417,264
,,,
 55-59 años,2014,354,283
,,,
 55-59 años,2015,432,307
,,,
 55-59 años,2016,459,333
,,,
 55-59 años,2017,441,355
,,,
 55-59 años,2018,488,325
,,,
 55-59 años,2019,536,348
,,,
 55-59 años,2020,829,480
,,,
 55-59 años,2021,"1,058",657
,,,
 55-59 años,2022,556,393
,,,
 55-59 años,2023,553,411
,,,
 60-64 años,2000,284,209
,,,
 60-64 años,2001,256,230
,,,
 60-64 años,2002,280,210
,,,
 60-64 años,2003,281,227
,,,
 60-64 años,2004,284,269
,,,
 60-64 años,2005,280,270
,,,
 60-64 años,2006,307,279
,,,
 60-64 años,2007,359,294
,,,
 60-64 años,2008,319,296
,,,
 60-64 años,2009,331,310
,,,
 60-64 años,2010,373,304
,,,
 60-64 años,2011,360,312
,,,
 60-64 años,2012,398,332
,,,
 60-64 años,2013,434,369
,,,
 60-64 años,2014,444,354
,,,
 60-64 años,2015,501,378
,,,
 60-64 años,2016,520,408
,,,
 60-64 años,2017,506,442
,,,
 60-64 años,2018,530,457
,,,
 60-64 años,2019,631,464
,,,
 60-64 años,2020,"1,035",634
,,,
 60-64 años,2021,"1,216",842
,,,
 60-64 años,2022,690,568
,,,
 60-64 años,2023,662,508
,,,
 65-69 años,2000,308,256
,,,
 65-69 años,2001,346,284
,,,
 65-69 años,2002,361,291
,,,
 65-69 años,2003,358,296
,,,
 65-69 años,2004,343,343
,,,
 65-69 años,2005,351,290
,,,
 65-69 años,2006,357,322
,,,
 65-69 años,2007,349,318
,,,
 65-69 años,2008,379,352
,,,
 65-69 años,2009,376,331
,,,
 65-69 años,2010,433,373
,,,
 65-69 años,2011,400,351
,,,
 65-69 años,2012,442,403
,,,
 65-69 años,2013,462,383
,,,
 65-69 años,2014,477,403
,,,
 65-69 años,2015,533,421
,,,
 65-69 años,2016,559,470
,,,
 65-69 años,2017,585,459
,,,
 65-69 años,2018,616,495
,,,
 65-69 años,2019,644,500
,,,
 65-69 años,2020,"1,093",755
,,,
 65-69 años,2021,"1,333",941
,,,
 65-69 años,2022,815,649
,,,
 65-69 años,2023,774,619
,,,
 70-74 años,2000,313,272
,,,
 70-74 años,2001,361,295
,,,
 70-74 años,2002,334,314
,,,
 70-74 años,2003,386,350
,,,
 70-74 años,2004,440,357
,,,
 70-74 años,2005,416,353
,,,
 70-74 años,2006,445,390
,,,
 70-74 años,2007,470,397
,,,
 70-74 años,2008,462,414
,,,
 70-74 años,2009,490,423
,,,
 70-74 años,2010,451,444
,,,
 70-74 años,2011,463,389
,,,
 70-74 años,2012,541,443
,,,
 70-74 años,2013,512,470
,,,
 70-74 años,2014,505,506
,,,
 70-74 años,2015,580,499
,,,
 70-74 años,2016,593,553
,,,
 70-74 años,2017,636,527
,,,
 70-74 años,2018,581,503
,,,
 70-74 años,2019,688,566
,,,
 70-74 años,2020,"1,120",776
,,,
 70-74 años,2021,"1,352","1,021"
,,,
 70-74 años,2022,838,695
,,,
 70-74 años,2023,813,677
,,,
 75-79 años,2000,361,307
,,,
 75-79 años,2001,371,358
,,,
 75-79 años,2002,379,375
,,,
 75-79 años,2003,370,379
,,,
 75-79 años,2004,431,355
,,,
 75-79 años,2005,442,421
,,,
 75-79 años,2006,430,442
,,,
 75-79 años,2007,454,476
,,,
 75-79 años,2008,546,524
,,,
 75-79 años,2009,524,514
,,,
 75-79 años,2010,565,545
,,,
 75-79 años,2011,558,494
,,,
 75-79 años,2012,568,560
,,,
 75-79 años,2013,593,553
,,,
 75-79 años,2014,584,532
,,,
 75-79 años,2015,595,616
,,,
 75-79 años,2016,667,619
,,,
 75-79 años,2017,649,642
,,,
 75-79 años,2018,636,574
,,,
 75-79 años,2019,717,575
,,,
 75-79 años,2020,"1,062",861
,,,
 75-79 años,2021,"1,301",974
,,,
 75-79 años,2022,874,804
,,,
 75-79 años,2023,767,759
,,,
 80-84 años,2000,251,268
,,,
 80-84 años,2001,286,310
,,,
 80-84 años,2002,309,307
,,,
 80-84 años,2003,341,349
,,,
 80-84 años,2004,370,383
,,,
 80-84 años,2005,443,423
,,,
 80-84 años,2006,437,384
,,,
 80-84 años,2007,466,454
,,,
 80-84 años,2008,501,497
,,,
 80-84 años,2009,491,505
,,,
 80-84 años,2010,519,571
,,,
 80-84 años,2011,517,543
,,,
 80-84 años,2012,561,566
,,,
 80-84 años,2013,601,623
,,,
 80-84 años,2014,632,662
,,,
 80-84 años,2015,594,667
,,,
 80-84 años,2016,664,775
,,,
 80-84 años,2017,684,756
,,,
 80-84 años,2018,641,668
,,,
 80-84 años,2019,738,761
,,,
 80-84 años,2020,999,896
,,,
 80-84 años,2021,"1,173","1,051"
,,,
 80-84 años,2022,840,841
,,,
 80-84 años,2023,721,780
,,,
 85 años y más,2000,507,629
,,,
 85 años y más,2001,466,645
,,,
 85 años y más,2002,522,668
,,,
 85 años y más,2003,501,655
,,,
 85 años y más,2004,496,684
,,,
 85 años y más,2005,555,715
,,,
 85 años y más,2006,613,773
,,,
 85 años y más,2007,592,796
,,,
 85 años y más,2008,685,834
,,,
 85 años y más,2009,660,867
,,,
 85 años y más,2010,778,987
,,,
 85 años y más,2011,830,995
,,,
 85 años y más,2012,849,"1,003"
,,,
 85 años y más,2013,891,"1,072"
,,,
 85 años y más,2014,865,"1,119"
,,,
 85 años y más,2015,"1,005","1,244"
,,,
 85 años y más,2016,"1,125","1,400"
,,,
 85 años y más,2017,"1,085","1,383"
,,,
 85 años y más,2018,"1,050","1,342"
,,,
 85 años y más,2019,"1,166","1,562"
,,,
 85 años y más,2020,"1,490","1,743"
,,,
 85 años y más,2021,"1,780","1,986"
,,,
 85 años y más,2022,"1,393","1,731"
,,,
 85 años y más,2023,"1,218","1,725"
