Grupo_edad,Año, Hombre, Mujer
 30-34 años,2001,807,333
,,,
 30-34 años,2002,775,303
,,,
 30-34 años,2003,809,333
,,,
 30-34 años,2004,804,250
,,,
 30-34 años,2005,773,306
,,,
 30-34 años,2006,808,268
,,,
 30-34 años,2007,767,262
,,,
 30-34 años,2008,782,255
,,,
 30-34 años,2009,775,326
,,,
 30-34 años,2010,701,264
,,,
 30-34 años,2011,701,263
,,,
 30-34 años,2012,722,285
,,,
 30-34 años,2013,763,252
,,,
 30-34 años,2014,801,278
,,,
 30-34 años,2015,731,255
,,,
 30-34 años,2016,842,277
,,,
 30-34 años,2017,737,300
,,,
 30-34 años,2018,801,273
,,,
 30-34 años,2019,869,259
,,,
 30-34 años,2020,"1,260",426
,,,
 30-34 años,2021,"1,252",406
,,,
 30-34 años,2022,833,299
,,,
 30-34 años,2023,796,286
,,,
 35-39 años,2000,925,382
,,,
 35-39 años,2001,954,385
,,,
 35-39 años,2002,870,397
,,,
 35-39 años,2003,949,394
,,,
 35-39 años,2004,903,362
,,,
 35-39 años,2005,867,352
,,,
 35-39 años,2006,855,389
,,,
 35-39 años,2007,907,353
,,,
 35-39 años,2008,941,356
,,,
 35-39 años,2009,"1,010",434
,,,
 35-39 años,2010,972,438
,,,
 35-39 años,2011,961,386
,,,
 35-39 años,2012,946,398
,,,
 35-39 años,2013,937,362
,,,
 35-39 años,2014,944,404
,,,
 35-39 años,2015,941,377
,,,
 35-39 años,2016,"1,001",379
,,,
 35-39 años,2017,899,402
,,,
 35-39 años,2018,954,365
,,,
 35-39 años,2019,965,355
,,,
 35-39 años,2020,"1,672",611
,,,
 35-39 años,2021,"1,742",641
,,,
 35-39 años,2022,953,409
,,,
 35-39 años,2023,913,414
,,,
 40-44 años,2000,"1,041",546
,,,
 40-44 años,2001,"1,020",540
,,,
 40-44 años,2002,"1,049",516
,,,
 40-44 años,2003,"1,086",547
,,,
 40-44 años,2004,"1,044",526
,,,
 40-44 años,2005,"1,050",545
,,,
 40-44 años,2006,"1,081",526
,,,
 40-44 años,2007,"1,093",544
,,,
 40-44 años,2008,"1,112",540
,,,
 40-44 años,2009,"1,151",562
,,,
 40-44 años,2010,"1,092",552
,,,
 40-44 años,2011,"1,127",531
,,,
 40-44 años,2012,"1,176",551
,,,
 40-44 años,2013,"1,175",503
,,,
 40-44 años,2014,"1,279",584
,,,
 40-44 años,2015,"1,300",593
,,,
 40-44 años,2016,"1,345",593
,,,
 40-44 años,2017,"1,225",581
,,,
 40-44 años,2018,"1,266",582
,,,
 40-44 años,2019,"1,220",604
,,,
 40-44 años,2020,"2,437",967
,,,
 40-44 años,2021,"2,181",985
,,,
 40-44 años,2022,"1,128",535
,,,
 40-44 años,2023,"1,131",539
,,,
 45-49 años,2000,"1,139",733
,,,
 45-49 años,2001,"1,169",763
,,,
 45-49 años,2002,"1,181",756
,,,
 45-49 años,2003,"1,252",761
,,,
 45-49 años,2004,"1,220",757
,,,
 45-49 años,2005,"1,269",806
,,,
 45-49 años,2006,"1,240",766
,,,
 45-49 años,2007,"1,372",765
,,,
 45-49 años,2008,"1,306",832
,,,
 45-49 años,2009,"1,416",881
,,,
 45-49 años,2010,"1,440",826
,,,
 45-49 años,2011,"1,387",796
,,,
 45-49 años,2012,"1,491",784
,,,
 45-49 años,2013,"1,383",874
,,,
 45-49 años,2014,"1,473",821
,,,
 45-49 años,2015,"1,503",855
,,,
 45-49 años,2016,"1,579",850
,,,
 45-49 años,2017,"1,596",927
,,,
 45-49 años,2018,"1,591",921
,,,
 45-49 años,2019,"1,687",921
,,,
 45-49 años,2020,"3,679","1,688"
,,,
 45-49 años,2021,"3,499","1,617"
,,,
 45-49 años,2022,"1,730",916
,,,
 45-49 años,2023,"1,568",856
,,,
 50-54 años,2000,"1,308",996
,,,
 50-54 años,2001,"1,449",927
,,,
 50-54 años,2002,"1,386","1,026"
,,,
 50-54 años,2003,"1,458",940
,,,
 50-54 años,2004,"1,436","1,074"
,,,
 50-54 años,2005,"1,520","1,003"
,,,
 50-54 años,2006,"1,488","1,057"
,,,
 50-54 años,2007,"1,647","1,139"
,,,
 50-54 años,2008,"1,704","1,170"
,,,
 50-54 años,2009,"1,778","1,274"
,,,
 50-54 años,2010,"1,703","1,191"
,,,
 50-54 años,2011,"1,726","1,206"
,,,
 50-54 años,2012,"1,799","1,219"
,,,
 50-54 años,2013,"1,839","1,180"
,,,
 50-54 años,2014,"1,947","1,278"
,,,
 50-54 años,2015,"1,845","1,213"
,,,
 50-54 años,2016,"2,081","1,254"
,,,
 50-54 años,2017,"1,901","1,225"
,,,
 50-54 años,2018,"2,021","1,174"
,,,
 50-54 años,2019,"2,038","1,302"
,,,
 50-54 años,2020,"4,763","2,241"
,,,
 50-54 años,2021,"4,011","2,114"
,,,
 50-54 años,2022,"2,119","1,262"
,,,
 50-54 años,2023,"2,118","1,235"
,,,
 55-59 años,2000,"1,546","1,175"
,,,
 55-59 años,2001,"1,566","1,246"
,,,
 55-59 años,2002,"1,639","1,225"
,,,
 55-59 años,2003,"1,641","1,299"
,,,
 55-59 años,2004,"1,680","1,368"
,,,
 55-59 años,2005,"1,759","1,387"
,,,
 55-59 años,2006,"1,847","1,423"
,,,
 55-59 años,2007,"1,833","1,473"
,,,
 55-59 años,2008,"1,860","1,438"
,,,
 55-59 años,2009,"1,961","1,545"
,,,
 55-59 años,2010,"2,000","1,518"
,,,
 55-59 años,2011,"2,082","1,451"
,,,
 55-59 años,2012,"2,133","1,550"
,,,
 55-59 años,2013,"2,244","1,620"
,,,
 55-59 años,2014,"2,279","1,670"
,,,
 55-59 años,2015,"2,319","1,638"
,,,
 55-59 años,2016,"2,537","1,646"
,,,
 55-59 años,2017,"2,407","1,733"
,,,
 55-59 años,2018,"2,588","1,706"
,,,
 55-59 años,2019,"2,522","1,727"
,,,
 55-59 años,2020,"6,028","3,149"
,,,
 55-59 años,2021,"5,070","3,062"
,,,
 55-59 años,2022,"2,653","1,819"
,,,
 55-59 años,2023,"2,540","1,752"
,,,
