Grupo_edad,Año, Hombre, Mujer
 30-34 años,2004,335,106
,,,
 30-34 años,2005,409,124
,,,
 30-34 años,2006,452,120
,,,
 30-34 años,2007,488,144
,,,
 30-34 años,2008,464,148
,,,
 30-34 años,2009,493,151
,,,
 30-34 años,2010,495,123
,,,
 30-34 años,2011,474,132
,,,
 30-34 años,2012,460,136
,,,
 30-34 años,2013,448,132
,,,
 30-34 años,2014,453,143
,,,
 30-34 años,2015,435,116
,,,
 30-34 años,2016,514,150
,,,
 30-34 años,2017,566,128
,,,
 30-34 años,2018,578,128
,,,
 30-34 años,2019,734,155
,,,
 30-34 años,2020,731,224
,,,
 30-34 años,2021,829,256
,,,
 30-34 años,2022,686,186
,,,
 30-34 años,2023,629,184
,,,
 35-39 años,2000,423,157
,,,
 35-39 años,2001,368,175
,,,
 35-39 años,2002,362,135
,,,
 35-39 años,2003,396,137
,,,
 35-39 años,2004,379,127
,,,
 35-39 años,2005,408,169
,,,
 35-39 años,2006,481,169
,,,
 35-39 años,2007,468,152
,,,
 35-39 años,2008,449,148
,,,
 35-39 años,2009,506,197
,,,
 35-39 años,2010,482,158
,,,
 35-39 años,2011,491,157
,,,
 35-39 años,2012,524,174
,,,
 35-39 años,2013,525,160
,,,
 35-39 años,2014,542,199
,,,
 35-39 años,2015,493,183
,,,
 35-39 años,2016,615,191
,,,
 35-39 años,2017,605,182
,,,
 35-39 años,2018,638,176
,,,
 35-39 años,2019,708,202
,,,
 35-39 años,2020,816,272
,,,
 35-39 años,2021,930,342
,,,
 35-39 años,2022,741,228
,,,
 35-39 años,2023,602,202
,,,
 40-44 años,2000,381,178
,,,
 40-44 años,2001,385,193
,,,
 40-44 años,2002,428,199
,,,
 40-44 años,2003,378,192
,,,
 40-44 años,2004,442,197
,,,
 40-44 años,2005,442,212
,,,
 40-44 años,2006,463,213
,,,
 40-44 años,2007,496,200
,,,
 40-44 años,2008,483,206
,,,
 40-44 años,2009,496,213
,,,
 40-44 años,2010,477,219
,,,
 40-44 años,2011,563,190
,,,
 40-44 años,2012,542,220
,,,
 40-44 años,2013,541,220
,,,
 40-44 años,2014,532,223
,,,
 40-44 años,2015,521,243
,,,
 40-44 años,2016,711,247
,,,
 40-44 años,2017,734,248
,,,
 40-44 años,2018,681,211
,,,
 40-44 años,2019,752,255
,,,
 40-44 años,2020,898,336
,,,
 40-44 años,2021,"1,186",469
,,,
 40-44 años,2022,791,283
,,,
 40-44 años,2023,695,269
,,,
 45-49 años,2000,432,250
,,,
 45-49 años,2001,436,242
,,,
 45-49 años,2002,463,268
,,,
 45-49 años,2003,449,228
,,,
 45-49 años,2004,483,256
,,,
 45-49 años,2005,492,285
,,,
 45-49 años,2006,549,253
,,,
