Grupo_edad,Año, Hombre, Mujer
 30-34 años,2004,43,19
,,,
 30-34 años,2005,40,24
,,,
 30-34 años,2006,44,21
,,,
 30-34 años,2007,55,10
,,,
 30-34 años,2008,51,21
,,,
 30-34 años,2009,60,19
,,,
 30-34 años,2010,57,26
,,,
 30-34 años,2011,73,33
,,,
 30-34 años,2012,103,24
,,,
 30-34 años,2013,86,25
,,,
 30-34 años,2014,69,28
,,,
 30-34 años,2015,85,24
,,,
 30-34 años,2016,153,22
,,,
 30-34 años,2017,176,25
,,,
 30-34 años,2018,160,35
,,,
 30-34 años,2019,141,31
,,,
 30-34 años,2020,147,36
,,,
 30-34 años,2021,156,48
,,,
 30-34 años,2022,162,31
,,,
 30-34 años,2023,198,42
,,,
 35-39 años,2000,52,25
,,,
 35-39 años,2001,53,24
,,,
 35-39 años,2002,35,17
,,,
 35-39 años,2003,42,15
,,,
 35-39 años,2004,54,30
,,,
 35-39 años,2005,48,22
,,,
 35-39 años,2006,56,14
,,,
 35-39 años,2007,63,28
,,,
 35-39 años,2008,68,18
,,,
 35-39 años,2009,64,18
,,,
 35-39 años,2010,90,22
,,,
 35-39 años,2011,92,23
,,,
 35-39 años,2012,108,37
,,,
 35-39 años,2013,94,31
,,,
 35-39 años,2014,75,25
,,,
 35-39 años,2015,113,33
,,,
 35-39 años,2016,138,31
,,,
 35-39 años,2017,174,28
,,,
 35-39 años,2018,173,36
,,,
 35-39 años,2019,127,32
,,,
 35-39 años,2020,170,45
,,,
 35-39 años,2021,185,59
,,,
 35-39 años,2022,159,64
,,,
 35-39 años,2023,158,53
,,,
 40-44 años,2000,50,18
,,,
 40-44 años,2001,44,27
,,,
 40-44 años,2002,58,27
,,,
 40-44 años,2003,47,29
,,,
 40-44 años,2004,60,26
,,,
 40-44 años,2005,76,26
,,,
 40-44 años,2006,68,26
,,,
 40-44 años,2007,85,27
,,,
 40-44 años,2008,64,37
,,,
 40-44 años,2009,88,33
,,,
 40-44 años,2010,82,31
,,,
 40-44 años,2011,88,28
,,,
 40-44 años,2012,99,44
,,,
 40-44 años,2013,108,31
,,,
 40-44 años,2014,89,44
,,,
 40-44 años,2015,121,46
,,,
 40-44 años,2016,163,47
,,,
 40-44 años,2017,169,50
,,,
 40-44 años,2018,144,57
,,,
 40-44 años,2019,156,44
,,,
 40-44 años,2020,172,80
,,,
 40-44 años,2021,199,66
,,,
 40-44 años,2022,181,63
,,,
 40-44 años,2023,167,58
,,,
 45-49 años,2000,58,30
,,,
 45-49 años,2001,63,41
,,,
 45-49 años,2002,77,41
,,,
 45-49 años,2003,65,34
,,,
 45-49 años,2004,75,43
,,,
 45-49 años,2005,71,31
,,,
 45-49 años,2006,77,32
,,,
 45-49 años,2007,98,37
,,,
 45-49 años,2008,81,47
,,,
 45-49 años,2009,74,41
,,,
 45-49 años,2010,91,44
,,,
 45-49 años,2011,118,45
,,,
 45-49 años,2012,87,52
,,,
 45-49 años,2013,102,45
,,,
 45-49 años,2014,109,48
,,,
 45-49 años,2015,126,37
,,,
 45-49 años,2016,135,53
,,,
 45-49 años,2017,143,62
,,,
 45-49 años,2018,167,64
,,,
 45-49 años,2019,153,73
,,,
 45-49 años,2020,201,85
,,,
 45-49 años,2021,210,114
,,,
 45-49 años,2022,191,77
,,,
 45-49 años,2023,186,88
,,,
 50-54 años,2000,74,41
,,,
 50-54 años,2001,57,53
,,,
 50-54 años,2002,65,61
,,,
 50-54 años,2003,67,48
,,,
 50-54 años,2004,79,55
,,,
 50-54 años,2005,86,48
,,,
 50-54 años,2006,83,59
,,,
 50-54 años,2007,112,55
,,,
 50-54 años,2008,86,76
,,,
 50-54 años,2009,98,52
,,,
 50-54 años,2010,119,44
,,,
 50-54 años,2011,107,55
,,,
 50-54 años,2012,118,81
,,,
 50-54 años,2013,114,76
,,,
 50-54 años,2014,141,64
,,,
 50-54 años,2015,122,74
,,,
 50-54 años,2016,122,77
,,,
 50-54 años,2017,164,81
,,,
 50-54 años,2018,168,65
,,,
 50-54 años,2019,160,80
,,,
 50-54 años,2020,214,125
,,,
 50-54 años,2021,278,149
,,,
 50-54 años,2022,204,89
,,,
 50-54 años,2023,195,86
,,,
 55-59 años,2000,80,47
,,,
 55-59 años,2001,73,56
,,,
 55-59 años,2002,78,60
,,,
 55-59 años,2003,69,62
,,,
 55-59 años,2004,73,60
,,,
 55-59 años,2005,89,63
,,,
 55-59 años,2006,106,56
,,,
 55-59 años,2007,98,77
,,,
 55-59 años,2008,107,77
,,,
 55-59 años,2009,102,71
,,,
 55-59 años,2010,117,72
,,,
 55-59 años,2011,138,74
,,,
 55-59 años,2012,154,91
,,,
 55-59 años,2013,153,93
,,,
 55-59 años,2014,152,79
,,,
 55-59 años,2015,173,100
,,,
 55-59 años,2016,168,112
,,,
 55-59 años,2017,169,89
,,,
 55-59 años,2018,171,116
,,,
 55-59 años,2019,202,91
,,,
 55-59 años,2020,264,151
,,,
 55-59 años,2021,314,199
,,,
 55-59 años,2022,229,123
,,,
 55-59 años,2023,245,135
,,,
 60-64 años,2000,101,77
,,,
 60-64 años,2001,99,59
,,,
 60-64 años,2002,101,52
,,,
 60-64 años,2003,89,60
,,,
 60-64 años,2004,88,83
,,,
 60-64 años,2005,112,69
,,,
 60-64 años,2006,101,86
,,,
