Grupo_edad,Año, Hombre, Mujer
 30-34 años,2004,77,27
,,,
 30-34 años,2005,75,26
,,,
 30-34 años,2006,69,38
,,,
 30-34 años,2007,83,33
,,,
 30-34 años,2008,70,39
,,,
 30-34 años,2009,92,34
,,,
 30-34 años,2010,84,28
,,,
 30-34 años,2011,98,27
,,,
 30-34 años,2012,75,33
,,,
 30-34 años,2013,77,44
,,,
 30-34 años,2014,67,34
,,,
 30-34 años,2015,73,22
,,,
 30-34 años,2016,77,38
,,,
 30-34 años,2017,100,39
,,,
 30-34 años,2018,98,36
,,,
 30-34 años,2019,134,42
,,,
 30-34 años,2020,142,52
,,,
 30-34 años,2021,162,71
,,,
 30-34 años,2022,139,46
,,,
 30-34 años,2023,111,56
,,,
 35-39 años,2000,81,40
,,,
 35-39 años,2001,71,35
,,,
 35-39 años,2002,82,44
,,,
 35-39 años,2003,70,40
,,,
 35-39 años,2004,84,37
,,,
 35-39 años,2005,86,37
,,,
 35-39 años,2006,89,36
,,,
 35-39 años,2007,84,35
,,,
 35-39 años,2008,109,40
,,,
 35-39 años,2009,98,53
,,,
 35-39 años,2010,114,41
,,,
 35-39 años,2011,104,38
,,,
 35-39 años,2012,89,45
,,,
 35-39 años,2013,100,47
,,,
 35-39 años,2014,103,29
,,,
 35-39 años,2015,96,57
,,,
 35-39 años,2016,112,53
,,,
 35-39 años,2017,118,65
,,,
 35-39 años,2018,106,66
,,,
 35-39 años,2019,114,55
,,,
 35-39 años,2020,175,76
,,,
 35-39 años,2021,173,83
,,,
 35-39 años,2022,143,67
,,,
 35-39 años,2023,142,55
,,,
 40-44 años,2000,71,42
,,,
 40-44 años,2001,70,48
,,,
 40-44 años,2002,87,45
,,,
 40-44 años,2003,91,45
,,,
 40-44 años,2004,84,49
,,,
 40-44 años,2005,86,57
,,,
 40-44 años,2006,100,49
,,,
 40-44 años,2007,100,52
,,,
 40-44 años,2008,115,47
,,,
 40-44 años,2009,89,60
,,,
 40-44 años,2010,108,62
,,,
 40-44 años,2011,111,55
,,,
 40-44 años,2012,120,60
,,,
 40-44 años,2013,142,51
,,,
 40-44 años,2014,127,65
,,,
 40-44 años,2015,118,73
,,,
 40-44 años,2016,126,60
,,,
 40-44 años,2017,137,70
,,,
 40-44 años,2018,156,48
,,,
 40-44 años,2019,172,75
,,,
 40-44 años,2020,213,117
,,,
 40-44 años,2021,187,117
,,,
 40-44 años,2022,163,90
,,,
 40-44 años,2023,154,87
,,,
 45-49 años,2000,80,62
,,,
 45-49 años,2001,83,58
,,,
 45-49 años,2002,85,62
,,,
 45-49 años,2003,101,68
,,,
 45-49 años,2004,104,64
,,,
 45-49 años,2005,98,55
,,,
 45-49 años,2006,107,86
,,,
 45-49 años,2007,105,48
,,,
 45-49 años,2008,110,85
,,,
 45-49 años,2009,152,75
,,,
 45-49 años,2010,140,89
,,,
 45-49 años,2011,126,78
,,,
 45-49 años,2012,139,81
,,,
 45-49 años,2013,129,91
,,,
 45-49 años,2014,140,84
,,,
 45-49 años,2015,147,93
,,,
 45-49 años,2016,168,89
,,,
 45-49 años,2017,162,90
,,,
 45-49 años,2018,155,101
,,,
 45-49 años,2019,195,107
,,,
 45-49 años,2020,307,152
,,,
 45-49 años,2021,293,182
,,,
 45-49 años,2022,221,111
,,,
 45-49 años,2023,212,98
,,,
 50-54 años,2000,97,70
,,,
 50-54 años,2001,93,84
,,,
 50-54 años,2002,113,86
,,,
 50-54 años,2003,93,88
,,,
 50-54 años,2004,121,73
,,,
 50-54 años,2005,112,91
,,,
 50-54 años,2006,120,80
,,,
 50-54 años,2007,147,89
,,,
 50-54 años,2008,145,115
,,,
 50-54 años,2009,138,118
,,,
 50-54 años,2010,134,93
,,,
 50-54 años,2011,149,106
,,,
 50-54 años,2012,155,101
,,,
 50-54 años,2013,165,124
,,,
 50-54 años,2014,195,97
,,,
 50-54 años,2015,165,117
,,,
 50-54 años,2016,200,132
,,,
 50-54 años,2017,171,115
,,,
 50-54 años,2018,196,147
,,,
 50-54 años,2019,222,138
,,,
 50-54 años,2020,377,198
,,,
 50-54 años,2021,312,204
,,,
 50-54 años,2022,238,147
,,,
 50-54 años,2023,264,127
,,,
 55-59 años,2000,97,93
,,,
 55-59 años,2001,133,105
,,,
 55-59 años,2002,126,105
,,,
 55-59 años,2003,161,106
,,,
 55-59 años,2004,157,119
,,,
 55-59 años,2005,128,124
,,,
 55-59 años,2006,131,120
,,,
 55-59 años,2007,180,134
,,,
 55-59 años,2008,177,123
,,,
 55-59 años,2009,175,130
,,,
 55-59 años,2010,166,127
,,,
 55-59 años,2011,171,128
,,,
 55-59 años,2012,175,144
,,,
 55-59 años,2013,192,127
,,,
 55-59 años,2014,211,133
,,,
 55-59 años,2015,204,169
,,,
 55-59 años,2016,220,146
,,,
 55-59 años,2017,230,165
,,,
 55-59 años,2018,236,167
,,,
 55-59 años,2019,273,201
,,,
 55-59 años,2020,457,266
,,,
 55-59 años,2021,420,302
,,,
 55-59 años,2022,332,230
,,,
 55-59 años,2023,297,216
,,,
 60-64 años,2000,145,99
,,,
 60-64 años,2001,125,134
,,,
 60-64 años,2002,163,124
,,,
 60-64 años,2003,153,127
,,,
 60-64 años,2004,163,142
,,,
 60-64 años,2005,169,143
,,,
 60-64 años,2006,190,139
,,,
 60-64 años,2007,190,135
,,,
 60-64 años,2008,189,166
,,,
 60-64 años,2009,184,173
,,,
 60-64 años,2010,185,168
,,,
 60-64 años,2011,159,150
,,,
 60-64 años,2012,199,174
,,,
 60-64 años,2013,222,184
,,,
 60-64 años,2014,242,162
,,,
 60-64 años,2015,240,172
,,,
 60-64 años,2016,252,208
,,,
 60-64 años,2017,268,228
,,,
 60-64 años,2018,285,196
,,,
 60-64 años,2019,302,233
,,,
 60-64 años,2020,533,336
,,,
 60-64 años,2021,518,367
,,,
 60-64 años,2022,378,270
,,,
 60-64 años,2023,365,253
,,,
 65-69 años,2000,155,141
,,,
 65-69 años,2001,148,132
,,,
 65-69 años,2002,175,181
,,,
 65-69 años,2003,192,174
,,,
 65-69 años,2004,155,167
,,,
 65-69 años,2005,161,191
,,,
 65-69 años,2006,156,150
,,,
 65-69 años,2007,203,165
,,,
 65-69 años,2008,202,176
,,,
 65-69 años,2009,219,171
,,,
 65-69 años,2010,191,215
,,,
 65-69 años,2011,237,197
,,,
 65-69 años,2012,249,204
,,,
 65-69 años,2013,281,236
,,,
 65-69 años,2014,277,200
,,,
 65-69 años,2015,274,247
,,,
 65-69 años,2016,258,245
,,,
 65-69 años,2017,261,226
,,,
 65-69 años,2018,276,248
,,,
 65-69 años,2019,324,246
,,,
 65-69 años,2020,595,440
,,,
 65-69 años,2021,594,437
,,,
 65-69 años,2022,425,313
,,,
 65-69 años,2023,387,303
,,,
 70-74 años,2000,182,162
,,,
 70-74 años,2001,159,153
,,,
 70-74 años,2002,189,172
,,,
 70-74 años,2003,175,160
,,,
 70-74 años,2004,191,193
,,,
 70-74 años,2005,186,175
,,,
 70-74 años,2006,215,208
,,,
 70-74 años,2007,231,193
,,,
 70-74 años,2008,241,194
,,,
 70-74 años,2009,232,210
,,,
 70-74 años,2010,223,211
,,,
 70-74 años,2011,222,221
,,,
 70-74 años,2012,279,207
,,,
 70-74 años,2013,262,231
,,,
 70-74 años,2014,294,238
,,,
 70-74 años,2015,254,245
,,,
 70-74 años,2016,277,292
,,,
 70-74 años,2017,316,286
,,,
 70-74 años,2018,320,283
,,,
 70-74 años,2019,328,306
,,,
 70-74 años,2020,582,442
,,,
 70-74 años,2021,565,451
,,,
 70-74 años,2022,441,408
,,,
 70-74 años,2023,412,316
,,,
 75-79 años,2000,174,152
,,,
 75-79 años,2001,198,216
,,,
 75-79 años,2002,226,202
,,,
 75-79 años,2003,204,232
,,,
 75-79 años,2004,185,183
,,,
 75-79 años,2005,198,217
,,,
 75-79 años,2006,223,219
,,,
 75-79 años,2007,238,227
,,,
 75-79 años,2008,259,257
,,,
 75-79 años,2009,249,261
,,,
 75-79 años,2010,248,271
,,,
 75-79 años,2011,228,233
,,,
 75-79 años,2012,258,249
,,,
 75-79 años,2013,281,280
,,,
 75-79 años,2014,279,274
,,,
 75-79 años,2015,271,265
,,,
 75-79 años,2016,295,251
,,,
 75-79 años,2017,321,282
,,,
 75-79 años,2018,344,290
,,,
 75-79 años,2019,333,314
,,,
 75-79 años,2020,533,448
,,,
 75-79 años,2021,578,473
,,,
 75-79 años,2022,503,409
,,,
 75-79 años,2023,437,384
,,,
 80-84 años,2000,147,132
,,,
 80-84 años,2001,170,176
,,,
 80-84 años,2002,163,226
,,,
