,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
Entidad federativa,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado
Chihuahua,25809.00,16861.00,8898.00,50.00,24121.00,15168.00,8939.00,14.00,22187.00,13401.00,8763.00,23.00,22314.00,13219.00,9064.00,31.00,22163.00,12948.00,9186.00,29.00,22416.00,13030.00,9367.00,19.00,23400.00,13705.00,9657.00,38.00,23802.00,14013.00,9781.00,8.00,23836.00,14048.00,9781.00,7.00,24964.00,14842.00,10118.00,4.00,39246.00,23657.00,15579.00,10.00,31716.00,18592.00,13110.00,14.00,28824.00,16990.00,11806.00,28.00,27341.00,15990.00,11337.00,14.00
Ciudad de México,55106.00,28098.00,26998.00,10.00,54629.00,28306.00,26298.00,25.00,55995.00,28862.00,27119.00,14.00,57142.00,29692.00,27433.00,17.00,58870.00,30361.00,28492.00,17.00,59484.00,30596.00,28875.00,13.00,62230.00,32430.00,29792.00,8.00,61984.00,31856.00,30122.00,6.00,63213.00,32592.00,30615.00,6.00,63334.00,33024.00,30308.00,2.00,107292.00,61938.00,45353.00,1.00,100363.00,55694.00,44664.00,5.00,69455.00,35782.00,33669.00,4.00,65291.00,33563.00,31727.00,1.00
Durango,9221.00,5563.00,3644.00,14.00,9274.00,5534.00,3623.00,117.00,8884.00,5299.00,3571.00,14.00,9089.00,5286.00,3791.00,12.00,8950.00,5223.00,3725.00,2.00,8975.00,5093.00,3881.00,1.00,9570.00,5382.00,4180.00,8.00,9449.00,5359.00,4088.00,2.00,9311.00,5178.00,4130.00,3.00,10128.00,5610.00,4515.00,3.00,13945.00,8013.00,5929.00,3.00,13750.00,7696.00,6051.00,3.00,11710.00,6630.00,5076.00,4.00,10193.00,5650.00,4541.00,2.00
Guanajuato,27132.00,14706.00,12416.00,10.00,26550.00,14624.00,11922.00,4.00,27454.00,15143.00,12299.00,12.00,28657.00,15726.00,12925.00,6.00,29474.00,16326.00,13143.00,5.00,30170.00,16824.00,13342.00,4.00,32202.00,17936.00,14248.00,18.00,34794.00,19674.00,15120.00,0.00,35880.00,20550.00,15322.00,8.00,37347.00,21586.00,15754.00,7.00,51677.00,30678.00,20995.00,4.00,56302.00,32593.00,23707.00,2.00,42867.00,24531.00,18334.00,2.00,40090.00,22707.00,17377.00,6.00
Guerrero,16472.00,9587.00,6865.00,20.00,17841.00,10550.00,7269.00,22.00,18137.00,10748.00,7376.00,13.00,18469.00,10801.00,7619.00,49.00,17540.00,10074.00,7442.00,24.00,20645.00,11958.00,8656.00,31.00,20270.00,11821.00,8420.00,29.00,19910.00,11606.00,8291.00,13.00,18410.00,10585.00,7824.00,1.00,19448.00,11210.00,8235.00,3.00,25859.00,15375.00,10482.00,2.00,28177.00,16375.00,11798.00,4.00,20619.00,11830.00,8787.00,2.00,19046.00,10794.00,8251.00,1.00
Hidalgo,12990.00,7149.00,5839.00,2.00,13150.00,7233.00,5909.00,8.00,13246.00,7168.00,6065.00,13.00,13878.00,7520.00,6352.00,6.00,14142.00,7719.00,6415.00,8.00,14595.00,7861.00,6727.00,7.00,15391.00,8475.00,6910.00,6.00,15675.00,8526.00,7147.00,2.00,15945.00,8691.00,7253.00,1.00,16414.00,9137.00,7275.00,2.00,22655.00,13071.00,9583.00,1.00,25106.00,14557.00,10548.00,1.00,18575.00,10217.00,8355.00,3.00,17631.00,9646.00,7984.00,1.00
Jalisco,39185.00,21675.00,17497.00,13.00,40328.00,22507.00,17807.00,14.00,40555.00,22688.00,17852.00,15.00,42389.00,23707.00,18676.00,6.00,42260.00,23601.00,18648.00,11.00,43141.00,23951.00,19179.00,11.00,46010.00,25721.00,20276.00,13.00,46224.00,26014.00,20203.00,7.00,47097.00,26712.00,20377.00,8.00,49830.00,28381.00,21439.00,10.00,64461.00,37428.00,27023.00,10.00,74630.00,43191.00,31432.00,7.00,56388.00,32041.00,24323.00,24.00,52709.00,29591.00,23111.00,7.00
México,68286.00,37513.00,30747.00,26.00,69384.00,38105.00,31238.00,41.00,72001.00,39973.00,31977.00,51.00,74566.00,41298.00,33227.00,41.00,76581.00,42138.00,34418.00,25.00,77813.00,42694.00,35074.00,45.00,82351.00,45538.00,36748.00,65.00,83780.00,46272.00,37489.00,19.00,86654.00,48288.00,38358.00,8.00,89390.00,49303.00,40077.00,10.00,152668.00,91603.00,61057.00,8.00,152090.00,88133.00,63950.00,7.00,100734.00,55529.00,45192.00,13.00,96278.00,52774.00,43494.00,10.00
Michoacán de Ocampo,24162.00,13533.00,10617.00,12.00,24083.00,13626.00,10446.00,11.00,24310.00,13608.00,10690.00,12.00,25249.00,14059.00,11186.00,4.00,24840.00,13919.00,10920.00,1.00,25473.00,14197.00,11271.00,5.00,27138.00,15394.00,11739.00,5.00,27327.00,15603.00,11722.00,2.00,27279.00,15620.00,11658.00,1.00,28982.00,16776.00,12202.00,4.00,36614.00,21364.00,15249.00,1.00,46874.00,27354.00,19516.00,4.00,32822.00,19022.00,13786.00,14.00,30377.00,17283.00,13094.00,0.00
Morelos,9764.00,5319.00,4442.00,3.00,9653.00,5337.00,4289.00,27.00,10317.00,5778.00,4535.00,4.00,10703.00,5997.00,4698.00,8.00,10623.00,5800.00,4820.00,3.00,11236.00,6117.00,5106.00,13.00,12440.00,6791.00,5617.00,32.00,12353.00,6754.00,5598.00,1.00,12319.00,6923.00,5392.00,4.00,13563.00,7767.00,5794.00,2.00,18442.00,10960.00,7481.00,1.00,22224.00,13152.00,9071.00,1.00,15897.00,9048.00,6843.00,6.00,15439.00,8684.00,6754.00,1.00
